
company;company;acquired
company;company;acquiredBy
actor;movie;actorStarredInMovie
athlete;coach;athleteCoach
athlete;stadiumOrEventVenue;athleteHomeStadium
athlete;sportsTeam;athletePlaysForTeam
athlete;sportsLeague;athletePlaysInLeague
athlete;sport;athletePlaysSport
sportsTeam;sportsGame;awayTeamInGame
ceo;company;ceoOf
city;country;cityCapitalOfCountry
city;stateOrProvince;cityCapitalOfState
city;company;cityHasCompanyOffice
city;country;cityLocatedInCountry
city;stateOrProvince;cityLocatedInState
city;newspaper;cityNewspaper
city;radioStation;cityRadioStation
city;sportsTeam;citySportsTeams
city;stadiumOrEventVenue;cityStadiums
city;televisionStation;cityTelevisionStation
coach;athlete;coachesAthlete
coach;sportsLeague;coachesInLeague
coach;sportsTeam;coachesTeam
coach;awardTrophyTournament;coachWonTrophy
city;company;companiesHeadquarteredHere
company;ceo;companyCeo
company;economicSector;companyEconomicSector
company;company;competesWith
country;city;countryCapital
country;city;countryCities
country;currency;countryCurrency
country;company;countryHasCompanyOffice
country;person;countryLeader
country;stateOrProvince;countryStates
currency;country;currencyCountry
date;event;dateOfEvent
economicSector;company;economicSectorCompany
sportsEquipment;sport;equipmentUsedBySport
event;date;eventDate
company;city;hasOfficeInCity
company;country;hasOfficeInCountry
company;city;headquarteredIn
sportsTeam;sportsGame;homeTeamInGame
musicInstrument;musician;instrumentPlayedByMusician
journalist;publication;journalistWritesForPublication
person;country;leaderOfCountry
sportsLeague;coach;leagueCoaches
sportsLeague;athlete;leaguePlayers
sportsLeague;stadiumOrEventVenue;leagueStadiums
sportsLeague;sportsTeam;leagueTeams
sportsTeam;sportsGame;loserInGame
mlArea;mlAuthor;mlAreaExpert
mlAuthor;mlArea;mlAuthorExpertIn
mlAuthor;mlSoftware;mlAuthorOfSoftware
mlSoftware;mlAuthor;mlSoftwareAuthor
movie;actor;movieStarActor
musician;musicInstrument;musicianPlaysInstrument
musicArtist;musicGenre;musicArtistGenre
musicGenre;musicArtist;musicGenreArtist
musicArtist;musician;musicArtistMusician
musician;musicArtist;musicianInMusicArtist
newspaper;city;newspaperInCity
person;publication;personWrittenAboutInPublication
sport;athlete;players
product;company;producedBy
company;product;producesProduct
company;item;producesProductType
product;item;productInstanceOf
item;product;productInstances
publication;journalist;publicationJournalist
publication;person;publicationWritesAbout
radioStation;city;radioStationInCity
sportsGame;sportsTeam;sportsGameAwayTeam
sportsGame;sportsTeam;sportsGameHomeTeam
sportsGame;sportsTeam;sportsGameLoser
sportsGame;everyPromotedThing;sportsGameLoserScore
sportsGame;sport;sportsGameSport
sportsGame;sportsTeam;sportsGameTeam
sportsGame;sportsTeam;sportsGameWinner
sportsGame;everyPromotedThing;sportsGameWinnerScore
sport;sportsGame;sportSportsGameExample
sport;sportsTeam;sportTeam
sport;sportsEquipment;sportUsesEquipment
sport;stadiumOrEventVenue;sportUsesStadium
stadiumOrEventVenue;sportsTeam;stadiumHomeTeam
stadiumOrEventVenue;athlete;stadiumHomeToAthlete
stadiumOrEventVenue;sportsLeague;stadiumHomeToLeague
stadiumOrEventVenue;sport;stadiumHomeToSport
stadiumOrEventVenue;city;stadiumLocatedInCity
stateOrProvince;city;stateContainsCity
stateOrProvince;city;stateHasCapital
stateOrProvince;country;stateLocatedInCountry
everyPromotedThing;everyPromotedThing;synonymFor
sportsTeam;coach;teamCoach
sportsTeam;stadiumOrEventVenue;teamHomeStadium
sportsTeam;sportsGame;teamInGame
athlete;athlete;teammate
sportsTeam;athlete;teamMember
sportsTeam;sportsTeam;teamPlaysAgainstTeam
sportsTeam;city;teamPlaysInCity
sportsTeam;sportsLeague;teamPlaysInLeague
sportsTeam;sport;teamPlaysSport
sportsTeam;awardTrophyTournament;teamWonTrophy
televisionNetwork;televisionStation;televisionCompanyAffiliate
televisionStation;televisionNetwork;televisionStationAffiliatedWith
televisionStation;city;televisionStationInCity
awardTrophyTournament;coach;trophyWonByCoaches
awardTrophyTournament;sportsTeam;trophyWonByTeam
item;company;typeProducedBy
sportsTeam;sportsGame;winnerInGame
organization;person;worker
person;organization;worksFor
visualArtist;visualArtForm;visualArtistArtForm
visualArtForm;visualArtist;visualArtFormArtist
visualArtist;visualArtMovement;visualArtistArtMovement
visualArtMovement;visualArtist;visualArtMovementArtist
writer;book;writerWroteBook
book;writer;bookWriter
